,za_nr,version,doi,id,s1_ein,s2_sm_1,s2_sm_2,s2_sm_3,s2_sm_4,s2_ta_1,s2_ta_2,s2_ta_3,s2_ta_4,s2_pc_1,s2_pc_2,s2_pc_3,s2_pc_4,s2_re_1,s2_re_2,s2_re_3,s2_re_4,s2_in_1,s2_in_2,s2_in_3,s2_in_4,s2_be_1,s2_be_2,s2_be_3,s2_be_4,s2_do_1,s2_do_2,s2_do_3,s2_do_4,s2_sp_1,s2_sp_2,s2_sp_3,s2_sp_4,s2_ov_1,s2_ov_2,s2_ov_3,s2_ov_4,s2_so_1,s2_so_2,s2_so_3,s2_so_4,s2_txt,s3_byod,s4_1_erl,s4_2_ver,s4_3_pap,s5_ch_1,s5_ch_2,s5_ch_3,s5_ch_4,s5_pr_1,s5_pr_2,s5_pr_3,s5_pr_4,s5_tex_1,s5_tex_2,s5_tex_3,s5_tex_4,s5_di_1,s5_di_2,s5_di_3,s5_di_4,s5_tes_1,s5_tes_2,s5_tes_3,s5_tes_4,s5_fo_1,s5_fo_2,s5_fo_3,s5_fo_4,s5_ap_1,s5_ap_2,s5_ap_3,s5_ap_4,s5_pl_1,s5_pl_2,s5_pl_3,s5_pl_4,s5_ma_1,s5_ma_2,s5_ma_3,s5_ma_4,s5_co_1,s5_co_2,s5_co_3,s5_co_4,s5_soz_1,s5_soz_2,s5_soz_3,s5_soz_4,s5_cl_1,s5_cl_2,s5_cl_3,s5_cl_4,s5_vi_1,s5_vi_2,s5_vi_3,s5_vi_4,s5_wi_1,s5_wi_2,s5_wi_3,s5_wi_4,s5_sg_1,s5_sg_2,s5_sg_3,s5_sg_4,s5_txt,s6_1_cd,s6_2_ap,s6_3_eb,s6_4_vi,s6_5_pr,s6_6_ge,s6_7_di,s6_8_on,s7_1_mi,s7_2_di,s7_3_sp,s7_4_ar,s7_5_pr,s7_6_dr,s7_7_au,s7_8_üb,s7_8_an,s7_9_ne,s7_10_un,s7_11_pr,s8_1_mit,s8_2_leh,s8_3_elt,s9_1_rec,s9_2_vor,s9_3_tex,s9_4_pro,s9_5_kre,s9_6_wha,s9_7_ler,s9_8_hau,s9_9_sta,s9_10_pr,s10_ges,s11_alt,s12_sch,s12_txt,s13_kla,s14_inf,s14_med
14,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,15.0,1.0,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,nutze ich im Unterricht,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,,,,,nutze ich im Unterricht,,,,,,,,,,stimme ich eher zu,stimme ich eher zu,stimme ich überhaupt nicht zu,,nutze ich für Hausaufgaben,,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,nutze ich im Unterricht,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,,,nutze ich kostenlos,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenlos,nutze ich nicht,stimme ich eher zu,weiß ich nicht,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,motiviert mich sehr,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,weiß nicht_kommt nicht vor,weiß nicht_kommt nicht vor,motiviert mich eher nicht,motiviert mich eher nicht,motiviert mich eher,motiviert mich sehr,männlich,14 bis 15 Jahre,Gymnasium,,9. Klasse,ja,nein
15,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,16.0,1.0,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,nutze ich im Unterricht,,,,nutze ich im Unterricht,,,,,,,,nutze ich im Unterricht,,,,,,,,,,stimme ich eher zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,,,,nutze ich nicht,nutze ich im Unterricht,,,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenpflichtig,nutze ich nicht,nutze ich nicht,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher nicht zu,weiß ich nicht,weiß ich nicht,weiß ich nicht,weiß ich nicht,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,weiß ich nicht,weiß ich nicht,weiß ich nicht,weiß ich nicht,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,motiviert mich eher,motiviert mich eher,weiß nicht_kommt nicht vor,motiviert mich eher,weiß nicht_kommt nicht vor,weiß nicht_kommt nicht vor,weiß nicht_kommt nicht vor,weiß nicht_kommt nicht vor,weiß nicht_kommt nicht vor,motiviert mich eher,,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
16,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,17.0,1.0,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,nutze ich im Unterricht,,,,nutze ich im Unterricht,,,,,,,,nutze ich im Unterricht,,,,,,,,,,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,,nutze ich in der Freizeit zum Lernen,,,,nutze ich in der Freizeit zum Lernen,,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,,,nutze ich kostenpflichtig,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenpflichtig,nutze ich kostenpflichtig,nutze ich kostenlos,nutze ich nicht,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,weiß ich nicht,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich eher zu,motiviert mich eher,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich sehr,weiß nicht_kommt nicht vor,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher,motiviert mich eher nicht,männlich,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
17,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,18.0,1.0,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,,nutze ich in der Freizeit,,nutze ich im Unterricht,,,,,,,nutze ich nicht,nutze ich im Unterricht,,,nutze ich nicht,nutze ich im Unterricht,,,,,,,,nutze ich im Unterricht,,,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,,,,,nutze ich in der Freizeit zum Lernen,,,,nutze ich in der Freizeit zum Lernen,,,,,,,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,,,,,nutze ich kostenlos,nutze ich nicht,nutze ich kostenlos,nutze ich nicht,nutze ich kostenlos,nutze ich kostenlos,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,weiß ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich überhaupt nicht zu,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
18,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,19.0,1.0,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,,,nutze ich in der Freizeit,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,nutze ich in der Freizeit,,,,,nutze ich nicht,,,,,,,,nutze ich nicht,,,,nutze ich nicht,,,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,,,,nutze ich im Unterricht,,,,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenpflichtig,nutze ich kostenlos,nutze ich nicht,nutze ich kostenlos,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,motiviert mich eher,motiviert mich eher,motiviert mich sehr,motiviert mich sehr,motiviert mich eher nicht,motiviert mich sehr,weiß nicht_kommt nicht vor,motiviert mich überhaupt nicht,motiviert mich überhaupt nicht,motiviert mich eher nicht,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,ja,nein
19,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,20.0,1.0,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,,,,,,,,,,,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenlos,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich eher zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich überhaupt nicht zu,motiviert mich sehr,motiviert mich sehr,motiviert mich eher,motiviert mich eher,motiviert mich sehr,motiviert mich sehr,motiviert mich eher nicht,motiviert mich überhaupt nicht,motiviert mich eher,motiviert mich überhaupt nicht,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
20,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,21.0,1.0,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,,,nutze ich in der Freizeit,,,,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,,nutze ich für Hausaufgaben,,,nutze ich im Unterricht,,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenpflichtig,nutze ich kostenlos,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich eher zu,stimme ich überhaupt nicht zu,weiß ich nicht,stimme ich eher zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,motiviert mich eher,motiviert mich sehr,motiviert mich eher nicht,motiviert mich eher,weiß nicht_kommt nicht vor,motiviert mich eher nicht,weiß nicht_kommt nicht vor,motiviert mich eher,motiviert mich eher,motiviert mich eher,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,ja,ja
21,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,22.0,1.0,,,nutze ich in der Freizeit,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,,,,,,,,nutze ich im Unterricht,,,,,,,nutze ich nicht,,,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich nicht,nutze ich nicht,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,motiviert mich eher nicht,motiviert mich eher,weiß nicht_kommt nicht vor,motiviert mich eher,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher nicht,motiviert mich überhaupt nicht,motiviert mich überhaupt nicht,motiviert mich eher nicht,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,ja,nein
22,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,23.0,1.0,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,,nutze ich nicht,,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,,,,,nutze ich nicht,,,,nutze ich nicht,,,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher zu,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher nicht,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,,
23,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,24.0,1.0,,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,nutze ich im Unterricht,,nutze ich in der Freizeit,,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit,,,,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenlos,nutze ich kostenlos,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher nicht zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich eher zu,motiviert mich eher,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich sehr,motiviert mich eher,motiviert mich sehr,motiviert mich sehr,motiviert mich eher,motiviert mich sehr,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,,
24,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,25.0,1.0,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,,,,nutze ich nicht,,,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher nicht zu,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,nutze ich im Unterricht,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenpflichtig,nutze ich kostenlos,nutze ich nicht,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,weiß ich nicht,stimme ich eher zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich voll und ganz zu,motiviert mich sehr,motiviert mich sehr,weiß nicht_kommt nicht vor,motiviert mich sehr,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich sehr,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
25,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,26.0,1.0,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,,,,nutze ich nicht,,,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher nicht zu,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,nutze ich für Hausaufgaben,,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich kostenpflichtig,nutze ich kostenlos,nutze ich nicht,nutze ich nicht,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich eher zu,stimme ich überhaupt nicht zu,weiß ich nicht,stimme ich eher zu,weiß ich nicht,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich eher nicht zu,stimme ich eher zu,stimme ich voll und ganz zu,stimme ich überhaupt nicht zu,stimme ich eher zu,motiviert mich eher,motiviert mich eher,weiß nicht_kommt nicht vor,motiviert mich eher,motiviert mich eher,motiviert mich eher nicht,motiviert mich eher,motiviert mich eher nicht,motiviert mich sehr,motiviert mich eher nicht,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,nein,nein
26,6895.0,1.0.0 (2017-09-29),doi:10.4232/1.12880,27.0,1.0,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,,,nutze ich in der Freizeit,,nutze ich im Unterricht,nutze ich für Hausaufgaben,,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,,nutze ich im Unterricht,,,,,,,,,,stimme ich eher zu,stimme ich eher nicht zu,stimme ich voll und ganz zu,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,,,nutze ich nicht,,nutze ich für Hausaufgaben,,,,,nutze ich in der Freizeit zum Lernen,,,,,nutze ich nicht,,,nutze ich in der Freizeit zum Lernen,,,nutze ich für Hausaufgaben,,,,,,,,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,nutze ich nicht,stimme ich eher zu,stimme ich eher zu,stimme ich eher zu,stimme ich eher nicht zu,stimme ich überhaupt nicht zu,stimme ich überhaupt nicht zu,stimme ich eher zu,stimme ich überhaupt nicht zu,,,,,,,,,motiviert mich eher,motiviert mich eher,,motiviert mich eher,,,,,motiviert mich eher,weiblich,14 bis 15 Jahre,Gymnasium,,9. Klasse,,
